"Iteration"	"logProb"	"currentDecryptedText"	"correctText"
238	0.000851690484171738	"okhk ra q aqyjnk lkwl"	0
239	0.000851690484171738	"okhk ra q aqyjnk lkwl"	0
240	0.000851690484171738	"rkhk oa q aqyjnk lkwl"	0
241	0.000851690484171738	"rkhk oa q aqyjnk lkwl"	0
242	0.000851690484171738	"rkhk oa q aqyjvk lkwl"	0
243	0.000851690484171738	"rkhk oa q aqyjvk lkwl"	0
244	0.000851690484171738	"rkhk oa q aqyjvk lkwl"	0
245	0.000851690484171738	"rkhk oa q aqyjvk ekwe"	0
246	0.000851690484171738	"rkhk oa q aqyjvk ekle"	0
247	0.000851690484171738	"rkhk oa q aqyjvk ekle"	0
248	0.000851690484171738	"rkhk oa q aqyjvk wklw"	0
249	0.000851690484171738	"rkwk oa q aqyjvk hklh"	0
250	0.000851690484171738	"rkwk oa q aqyjvk hklh"	0
251	0.000851690484171738	"rkwk oa n anyjvk hklh"	0
252	0.000851690484171738	"rkwk oa n anyjvk hklh"	0
253	0.000851690484171738	"rkwk oa n anyjvk hklh"	0
254	0.000851690484171738	"rkwk om n mnyjvk hklh"	0
255	0.000851690484171738	"rkwk om n mnyjvk hklh"	0
256	0.000851690484171738	"rkwk om n mnyjvk hklh"	0
257	0.000851690484171738	"rkwk om y mynjvk hklh"	0
258	0.000851690484171738	"rkwk om y myqjvk hklh"	0
259	0.000851690484171738	"rkwk om y myujvk hklh"	0
260	0.000851690484171738	"rkwk om y myujvk hklh"	0
261	0.000851690484171738	"rkwk oh y hyujvk mklm"	0
262	0.000851690484171738	"rkwk yh o houjvk mklm"	0
263	0.000851690484171738	"rkwk yh o houtvk mklm"	0
264	0.000851690484171738	"rkwk yh o houtvk mklm"	0
265	0.000851690484171738	"rkwk dh o houtvk mklm"	0
266	0.000851690484171738	"rkwk dh o houtvk mklm"	0
267	0.000851690484171738	"rkwk dh o houyvk mklm"	0
268	0.000851690484171738	"rkwk dh o houyvk mklm"	0
269	0.000851690484171738	"rkwk hd o douyvk mklm"	0
270	0.000851690484171738	"rkxk hd o douyvk mklm"	0
271	0.000851690484171738	"rmxm hd o douyvm kmlk"	0
272	0.000851690484171738	"rmxm hd w dwuyvm kmlk"	0
273	0.000851690484171738	"rmxm hd w dwyuvm kmlk"	0
274	0.000851690484171738	"rsxs hd w dwyuvs kslk"	0
275	0.000851690484171738	"rsxs hd w dwyuvs kslk"	0
276	0.000851690484171738	"rsjs hd w dwyuvs kslk"	0
277	0.000851690484171738	"rsjs hb w bwyuvs kslk"	0
278	0.000851690484171738	"raja hb w bwyuva kalk"	0
279	0.000851690484171738	"raga hb w bwyuva kalk"	0
280	0.000851690484171738	"raxa hb w bwyuva kalk"	0
281	0.000851690484171738	"raxa hg w gwyuva kalk"	0
282	0.000851690484171738	"raxa hg w gwyuqa kalk"	0
283	0.000851690484171738	"raxa hg k gkyuqa walw"	0
284	0.000851690484171738	"raxa hg k gkyuqa walw"	0
285	0.000851690484171738	"raxa hb k bkyuqa walw"	0
286	0.000851690484171738	"raxa hz k zkyuqa walw"	0
287	0.000851690484171738	"raxa hl k lkyuqa wazw"	0
288	0.000851690484171738	"raxa hl k lkyqua wazw"	0
289	0.000851690484171738	"raxa hl k lkyqua wazw"	0
290	0.000851690484171738	"raxa hl k lkyqua wazw"	0
291	0.000851690484171738	"raxa hl k lkyqua wazw"	0
292	0.000851690484171738	"rexe hl k lkyque wezw"	0
293	0.000851690484171738	"rexe hl k lkyque wezw"	0
294	0.000851690484171738	"rcxc hl k lkyquc wczw"	0
295	0.000851690484171738	"rcxc hl b lbyquc wczw"	0
296	0.000851690484171738	"rcxc hl b lbyquc wczw"	0
297	0.000851690484171738	"rcxc hl b lbyquc sczs"	0
298	0.000851690484171738	"rcxc hi b ibyquc sczs"	0
299	0.000851690484171738	"rcsc hi b ibyquc xczx"	0
300	0.000851690484171738	"zcsc hi b ibyquc xcrx"	0
301	0.000851690484171738	"zcsc hi x ixyquc bcrb"	0
302	0.000851690484171738	"zchc si x ixyquc bcrb"	0
303	0.000851690484171738	"zchc si x ixyquc bcrb"	0
304	0.000851690484171738	"zcmc si x ixyquc bcrb"	0
305	0.000851690484171738	"zcmc sy x yxiquc bcrb"	0
306	0.000851690484171738	"zcmc sy x yxwquc bcrb"	0
307	0.000851690484171738	"zcmc sy x yxwquc kcrk"	0
308	0.000851690484171738	"zcmc sy x yxwquc pcrp"	0
309	0.000851690484171738	"zcmc sx y xywquc pcrp"	0
310	0.000851690484171738	"zcmc sx y xywquc pcrp"	0
311	0.000851690484171738	"zcmc sx y xywquc icri"	0
312	0.000851690484171738	"zcmc sx y xywquc icri"	0
313	0.000851690484171738	"zcmc sx y xywquc icri"	0
314	0.000851690484171738	"zcmc sx y xywguc icri"	0
315	0.000851690484171738	"zcmc sx y xywguc icri"	0
316	0.000851690484171738	"zcmc sx y xywguc icri"	0
317	0.000851690484171738	"zcmc sx y xywguc icri"	0
318	0.000851690484171738	"zcmc sx y xywguc icri"	0
319	0.000851690484171738	"zcmc ax y xywguc icri"	0
320	0.000851690484171738	"zcmc ax y xywguc icri"	0
321	0.000851690484171738	"zcmc ax y xywguc icri"	0
322	0.000851690484171738	"zcmc ax y xywguc lcrl"	0
323	0.000851690484171738	"zcmc ax y xydguc lcrl"	0
324	0.000851690484171738	"zcmc ax y xydfuc lcrl"	0
325	0.000851690484171738	"zcmc ax y xydfuc qcrq"	0
326	0.000851690484171738	"zcmc ax y xydfuc qcrq"	0
327	0.000851690484171738	"zcmc ax y xydfuc qcrq"	0
328	0.000851690484171738	"zcmc ax y xydfuc qcrq"	0
329	0.000851690484171738	"zcmc ax y xydfuc qcrq"	0
330	0.000851690484171738	"zcmc ax y xydfuc qcnq"	0
331	0.000851690484171738	"zcmc ax y xydfuc qcnq"	0
332	0.000851690484171738	"zcmc ax y xydfuc qcnq"	0
333	0.000851690484171738	"zcmc wx y xydfuc qcnq"	0
334	0.000851690484171738	"zcmc wx y xydfuc qcnq"	0
335	0.000851690484171738	"zcmc wn y nydfuc qcxq"	0
336	0.000851690484171738	"scmc wn y nydfuc qcxq"	0
337	0.000851690484171738	"scmc wn y nydfic qcxq"	0
338	0.000851690484171738	"scmc wn y nydfic qcxq"	0
339	0.000851690484171738	"scmc dn y nywfic qcxq"	0
340	0.000851690484171738	"seme dn y nywfie qexq"	0
341	0.000851690484171738	"swmw dn y nyefiw qwxq"	0
342	0.000851690484171738	"swmw dn y nyefgw qwxq"	0
343	0.000851690484171738	"swmw dn y nyefgw qwbq"	0
344	0.000851690484171738	"swmw dn y nyefgw qwbq"	0
345	0.000851690484171738	"swmw dn y nyefgw qwbq"	0
346	0.000851690484171738	"swmw dn y nyefgw qwbq"	0
347	0.000851690484171738	"sbmb dn y nyefgb qbwq"	0
348	0.000851690484171738	"sbmb dn e neyfgb qbwq"	0
349	0.000851690484171738	"sbmb dn e netfgb qbwq"	0
350	0.000851690484171738	"sama dn e netfga qawq"	0
351	0.000851690484171738	"sama dn e netfga qawq"	0
352	0.000851690484171738	"smam dn e netfgm qmwq"	0
353	0.000851690484171738	"smam dn e netfgm qmwq"	0
354	0.000851690484171738	"smfm dn e netagm qmwq"	0
355	0.000851690484171738	"smfm dz e zetagm qmwq"	0
356	0.000851690484171738	"smfm dz e zetagm qmwq"	0
357	0.000851690484171738	"smgm dz e zetafm qmwq"	0
358	0.000851690484171738	"smum dz e zetafm qmwq"	0
359	0.000851690484171738	"smum dz e zetafm cmwc"	0
360	0.000851690484171738	"smum dz e zetafm cmwc"	0
361	0.000851690484171738	"smum vz e zetafm cmwc"	0
362	0.000851690484171738	"smum kz e zetafm cmwc"	0
363	0.000851690484171738	"smum fz e zetakm cmwc"	0
364	0.000851690484171738	"smum fz e zetakm cmwc"	0
365	0.000851690484171738	"smum fz e zeiakm cmwc"	0
366	0.000851690484171738	"smom fz e zeiakm cmwc"	0
367	0.000851690484171738	"scoc fz e zeiakc mcwm"	0
368	0.000851690484171738	"scoc fx e xeiakc mcwm"	0
369	0.000851690484171738	"scoc fx e xeiakc mcwm"	0
370	0.000851690484171738	"sjoj fx e xeiakj mjwm"	0
371	0.000851690484171738	"sjoj fx e xeiakj mjwm"	0
372	0.000851690484171738	"sjoj fx e xeiakj mjwm"	0
373	0.000851690484171738	"sjoj fx l xliakj mjwm"	0
374	0.000851690484171738	"sjoj fx l xliakj ejwe"	0
375	0.000851690484171738	"sjoj fx l xliakj ejwe"	0
376	0.000851690484171738	"sjoj fx l xliakj cjwc"	0
377	0.000851690484171738	"pjoj fx l xliakj cjwc"	0
378	0.000851690484171738	"pjoj fx l xliakj cjwc"	0
379	0.000851690484171738	"pdod fx l xliakd cdwc"	0
380	0.000851690484171738	"pdod fx l xliakd cdwc"	0
381	0.000851690484171738	"ydod fx l xliakd cdwc"	0
382	0.000851690484171738	"ydod fx l xliakd cdhc"	0
383	0.000851690484171738	"ydod fx l xliakd cdhc"	0
384	0.000851690484171738	"ydod fx s xsiakd cdhc"	0
385	0.000851690484171738	"ydod fx q xqiakd cdhc"	0
386	0.000851690484171738	"ybob fx q xqiakb cbhc"	0
387	0.000851690484171738	"lbob fx q xqiakb cbhc"	0
388	0.000851690484171738	"lbob fx q xqiakb cbhc"	0
389	0.000851690484171738	"lbob fx q xqizkb cbhc"	0
390	0.000851690484171738	"lbob fx q xqizkb ybhy"	0
391	0.000851690484171738	"lbob fx q xqzikb ybhy"	0
392	0.000851690484171738	"lbob fx q xqzikb ybhy"	0
393	0.000851690484171738	"lbob fx j xjzikb ybhy"	0
394	0.000851690484171738	"lbob fx j xjzikb ybry"	0
395	0.000851690484171738	"lbob fx j xjzikb ybry"	0
396	0.000851690484171738	"lbob fx j xjzikb ybcy"	0
397	0.000851690484171738	"lxox fb j bjzikx yxcy"	0
398	0.000851690484171738	"lxox fb j bjzikx mxcm"	0
399	0.000851690484171738	"lxox fb p bpzikx mxcm"	0
400	0.000851690484171738	"lxox fb p bpzikx mxqm"	0
401	0.000851690484171738	"lxox fb p bpzikx mxqm"	0
402	0.000851690484171738	"lxox fb p bpzikx mxqm"	0
403	0.000851690484171738	"lxox fb p bpizkx mxqm"	0
404	0.000851690484171738	"lxox ab p bpizkx mxqm"	0
405	0.000851690484171738	"lxox ab p bpizsx mxqm"	0
406	0.000851690484171738	"lxox ab p bpizyx mxqm"	0
407	0.000851690484171738	"lxox ib p bpazyx mxqm"	0
408	0.000851690484171738	"lxox ib p bpazgx mxqm"	0
409	0.000851690484171738	"lxox ib p bpazgx txqt"	0
410	0.000851690484171738	"lxox ib p bpazgx txqt"	0
411	0.000851690484171738	"lxox ib p bpazgx txqt"	0
412	0.000851690484171738	"lxox nb p bpazgx txqt"	0
413	0.000851690484171738	"lxox nb c bcazgx txqt"	0
414	0.000851690484171738	"lxox nb c bcazgx txqt"	0
415	0.000851690484171738	"lxox ub c bcazgx txqt"	0
416	0.000851690484171738	"lxox ub h bhazgx txqt"	0
417	0.000851690484171738	"lxox ub h bhazgx nxqn"	0
418	0.000851690484171738	"lxox ub h bhazgx nxqn"	0
419	0.000851690484171738	"lxox ub h bhazgx sxqs"	0
